2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
4103000000,3345000000,3533000000,3621000000,3767000000
17348000000,14701000000,14912000000,14561000000,14485000000
13245000000,11356000000,11379000000,10940000000,10718000000
11111000000,9341000000,9496000000,9249000000,9021000000
2965000000,2434000000,2706000000,2789000000,2636000000
1864000000,1728000000,1631000000,1453000000,1468000000
None,None,None,None,None
2125000000,2033000000,1895000000,1649000000,1702000000
None,None,None,None,None
-388000000,-473000000,-485000000,-400000000,-383000000
401000000,486000000,466000000,415000000,431000000
388000000,473000000,485000000,400000000,383000000
17736000000,15174000000,15397000000,14961000000,14000000
5000000,5000000,-50000000,2000000,-8000000
None,None,None,None,None
143000000,107000000,106000000,101000000,96000000
2348000000,1893000000,2104000000,2378000000,2191000000
532000000,397000000,434000000,453000000,242000000
608000000,526000000,570000000,400000000,389000000
1817000000,1496000000,1671000000,1923000000,1949000000
1794000000,1543000000,1749000000,1835000000,2037000000
2965000000,2434000000,2706000000,2789000000,2636000000
2879000000,2473000000,2695000000,2879000000,2670000000
1816000000,1496000000,1670000000,1925000000,1949000000
