,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
operatingCashflow,46327000000,66064000000,38514000000,30723000000,18365000000
paymentsForOperatingActivities,7243000000,5087000000,4008000000,0,0
proceedsFromOperatingActivities,None,None,None,None,None
changeInOperatingLiabilities,5916000000,18745000000,9904000000,4414000000,7913000000
changeInOperatingAssets,9487000000,2849000000,3278000000,1314000000,3583000000
depreciationDepletionAndAmortization,34296000000,25251000000,21789000000,15341000000,11478000000
capitalExpenditures,61053000000,40140000000,16861000000,13427000000,11955000000
changeInReceivables,-18163000000,-8169000000,-7681000000,-4615000000,-4786000000
changeInInventory,9487000000,2849000000,3278000000,1314000000,3583000000
profitLoss,33355000000,21331000000,11588000000,10073000000,3033000000
cashflowFromInvestment,-58154000000,-59611000000,-24281000000,-12369000000,-27084000000
cashflowFromFinancing,6291000000,-1104000000,-10066000000,-7686000000,9928000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,None,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None
dividendPayout,None,None,None,None,None
dividendPayoutCommonStock,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,19003000000,10525000000,2273000000,768000000,16231000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None
proceedsFromRepurchaseOfEquity,None,None,None,None,None
proceedsFromSaleOfTreasuryStock,None,None,None,None,None
changeInCashAndCashEquivalents,-5900000000,5967000000,4237000000,10317000000,1188000000
changeInExchangeRate,-364000000,618000000,70000000,-351000000,713000000
netIncome,33364000000,21331000000,11588000000,10073000000,3033000000
